 
Status=Not/Inst/Conf-files/Unpacked/halF-conf/Half-inst/trig-aWait/Trig-pend 
Err?=(none)/Reinst-required (Status,Err:
dnstracer 1.9-7+b1
dnstwist 0~20221213-1
dnswalk 2.0.2.dfsg.1-3
dnsx 1.0.7-0kali2
doc-base 0.11.1
doc-debian 6.5
docbook-xml 4.5-12
docker-ce 5:20.10.23~3-0~debian-buster
docker-ce-cli 5:20.10.23~3-0~debian-buster
docker-ce-rootless-extras 5:20.10.23~3-0~debian-buster
docker-compose 1.29.2-2
docker-compose-plugin 2.15.1-1~debian.10~buster
docker-desktop 4.17.0-99724
docker-scan-plugin 0.23.0~debian-buster
docker.io 20.10.17+dfsg1-1+b1
docutils-common 0.17.1+dfsg-3
doona 1.0+git20190108-1
dos2unix 7.4.3-1
dosfstools 4.2-1
dotdotpwn 3.0.2-0kali4
dotnet-apphost-pack-3.1 3.1.26-1
dotnet-host 6.0.9-1
dotnet-hostfxr-3.1 3.1.26-1
dotnet-runtime-3.1 3.1.26-1
dotnet-runtime-deps-3.1 3.1.26-1
dotnet-sdk-3.1 3.1.420-1
dotnet-targeting-pack-3.1 3.1.0-1
dpkg 1.21.21+kali2
dpkg-dev 1.21.21+kali2
dradis 4.4.0-0kali1
driftnet 1.3.0+dfsg-2+b1
dropbox 2020.03.04
dscan 0.1.5-0kali1
dsniff 2.4b1+debian-31
dufflebag 0.0~git20200205.9a01942-0kali3
dumpsterdiver 0~git20200911-0kali2
dumpzilla 20210311-0kali1
dvisvgm 3.0.3-1
dwarf2json 0.6.0~git20200714-0kali1
e2fsprogs 1.46.6~rc1-1.1
eaphammer 1.13.5+git20201214-0kali3
eapmd5pass 1.5-0kali1
easy-rsa 3.1.0-0.1
eatmydata 130-2
edb-debugger 1.3.0-2
edb-debugger-plugins:amd64 1.3.0-2
efibootmgr 17-2
eject 2.38.1-4
emacsen-common 3.0.5
email2phonenumber 0~git20220216-0kali1
emailharvester 1.3.2+git20191005-0kali2
enchant-2 2.3.3-2
engrampa 1.26.0-1
engrampa-common 1.26.0-1
enum4linux 0.9.1-0kali1
enumiax 0.4a-1kali2
espeak 1.48.15+dfsg-3
espeak-data:amd64 1.48.15+dfsg-3
espeak-ng-data:amd64 1.51+dfsg-9
ethtool 1:6.1-1
ettercap-common 1:0.8.3.1-11
ettercap-graphical 1:0.8.3.1-11
evil-ssdp 0.8~beta-0kali2
evil-winrm 3.4-0kali1
ewf-tools 20140813-1+b1
exe2hexbat 1.5.1-0kali2
exfatprogs 1.2.0-1
exif 0.6.22-3
exifprobe 2.0.1+git20170416.3c2b769-5
exim4-base 4.96-13
exim4-config 4.96-13
exim4-daemon-light 4.96-13
exiv2 0.27.5-4
exo-utils 4.18.0-1
expect 5.45.4-2+b1
exploitdb 20221122-0kali2
exploitdb-bin-sploits 20221122-0kali1
exploitdb-papers 20221122-0kali1
ext3grep 0.10.2-5
ext4magic 0.3.2-14
extundelete 0.2.4-3
eyewitness 20220713.1-0kali1
fake-hwclock 0.12+nmu1
fakeroot 1.29-1
faraday 4.0.4+git20220701-0kali1
faraday-cli 2.1.8-0kali1
fcrackzip 1.0-11
fdisk 2.38.1-4
fern-wifi-cracker 3.4-0kali1
feroxbuster 2.7.3-0kali1
ffmpeg 7:5.1.2-3
ffuf 1.5.0-0kali1
fierce 1.5.0-1
fig2dev 1:3.2.8b-3
figlet 2.2.5-3+b1
fiked 0.0.5-1kali6
file 1:5.41-4
finalrecon 1.1.5-0kali1
findutils 4.9.0-4
finger 0.17-17
firebird3.0-common 3.0.11.33637.ds4-2
firebird3.0-common-doc 3.0.11.33637.ds4-2
firebird3.0-server-core:amd64 3.0.11.33637.ds4-2+b1
firebird3.0-utils 3.0.11.33637.ds4-2+b1
firefox-esr 102.6.0esr-1
firewalk 5.0-5
firmware-amd-graphics 20221214-3+kali1
firmware-ast 20140808-6
firmware-ath9k-htc 1.4.0-108-gd856466+dfsg1-1
firmware-atheros 20221214-3+kali1
firmware-b43-installer 1:019-7
firmware-b43legacy-installer 1:019-7
firmware-bnx2 20221214-3+kali1
firmware-bnx2x 20221214-3+kali1
firmware-brcm80211 20221214-3+kali1
firmware-cavium 20221214-3+kali1
firmware-intel-sound 20221214-3+kali1
firmware-intelwimax 20210818-1+kali2
firmware-ipw2x00 20221214-3+kali1
firmware-ivtv 20221214-3+kali1
firmware-iwlwifi 20221214-3+kali1
firmware-libertas 20221214-3+kali1
firmware-linux 20221214-3+kali1
firmware-linux-free 20200122-1
firmware-linux-nonfree 20221214-3+kali1
firmware-misc-nonfree 20221214-3+kali1
firmware-mod-kit 0.99+git20190714-0kali1
firmware-myricom 20221214-3+kali1
firmware-netronome 20221214-3+kali1
firmware-netxen 20221214-3+kali1
firmware-qcom-soc 20221214-3+kali1
firmware-qlogic 20221214-3+kali1
firmware-realtek 20221214-3+kali1
firmware-realtek-rtl8723cs-bt 20181104-1
firmware-samsung 20221214-3+kali1
firmware-siano 20221214-3+kali1
firmware-sof-signed 2.2.3-1
firmware-ti-connectivity 20221214-3+kali1
firmware-zd1211 1:1.5-8
flac 1.4.2+ds-2
flashrom 1.2-5
flex 2.6.4-8.1
fontconfig 2.14.1-3
fontconfig-config 2.14.1-3
fonts-cantarell 0.303.1-1
fonts-crosextra-caladea 20200211-1
fonts-crosextra-carlito 20220224-1
fonts-dejavu 2.37-2
fonts-dejavu-core 2.37-2
fonts-dejavu-extra 2.37-2
fonts-droid-fallback 1:6.0.1r16-1.1
fonts-firacode 6.2-2
fonts-font-awesome 5.0.10+really4.7.0~dfsg-4.1
fonts-freefont-otf 20120503-10
fonts-freefont-ttf 20120503-10
fonts-glyphicons-halflings 1.009~3.4.1+dfsg-3
fonts-hack 3.003-3
fonts-lato 2.0-2.1
fonts-league-spartan 2.210-1
fonts-liberation 1:1.07.4-11
fonts-liberation2 2.1.5-1
fonts-linuxlibertine 5.3.0-6
fonts-lmodern 2.005-1
fonts-lyx 2.3.7-1
fonts-mathjax 2.7.9+dfsg-1
